Cleaned_Comment,Predicted_Sentiment
oversight verify weapon going ukraine actually used know,2.0
think change christmas,2.0
desperate attempt flood ukraine israel failing dollar hmmm,2.0
israeli occupied west bank problem russian occupied ukraine problem,2.0
make sense russian grow playing counterstrike red alert real,0.0
crimea belong turkey,2.0
ukraine military commander already spoken economist magazine saying ukraine cannot win war stalemated zelensky lying steal u tax payer money italian premier also said eu support nbc telling american truth,2.0
guy telling people ukraine winning,0.0
lie lie lie happened ukrain winning putin insane attcking moscow putin intending move rest europe lie lie lie western medium western govetnments lie lie lie obeying zionist puppet master disgusting,0.0
russia strongest military country moment,2.0
might occupy small area good luck making russian community,2.0
thought big counter offensive going happen,2.0
today day mighty usa realizes amazing everyone think,2.0
biden dems find way continue supporting ukraine also addressing need support israel better support southern border issue bidens recent proposal funding important issue unfortunately vocal far right ignore simply continue trying divide country antiukraine misinformation reality biden exhibiting excellent leadership challenge therefore expect resolution crisis time unless gop successful antibiden effort,1.0
biden want b ukraine israel american homeless million american woman prostitute selling body make living american living paycheck paycheck etc anyone tell u government willing pay billion dollar support war country spent almost nothing help citizen,2.0
aid ukraine track suit wearing guy think dare make demand threat go away hope stop fundong criminal make peace death,2.0
u medium saying month russia losing,0.0
ukraine cant kick almost like nd largest military earth,0.0
america slow provide right weapon causing loss ukrainian army,1.0
control crimea annexed territory people voted last month russia point accurate say ukraine occupying russia,0.0
trump let end war hour handing ukraine russia lower gas food rent bill liberal landlord elect,1.0
crimea doesnt even want part ukraine,0.0
billion need go border rebuilding america god bless mike johnson responsible,1.0
funny rhetoric quickly changing gone winning stale mate let negotiate make wonder point whole thing considering every fair minded person already knew outcome,0.0
take russia every single square inch,1.0
let putin win turn eye another eastern european country putin upped war output gdp preparing year war,2.0
zelensky really mad pleads another one year destroyed ukraine,0.0
speaker right,1.0
hmmm donetsk luhansk region declared independence ukraine support people terrorist attack ukraine capital president yanukovych flee life revisionist history doesnt fly solution simply give people want freedom ukraine,2.0
couldnt president trump commitment peace mic wont get rich politician wont get kickback way,0.0
america occupied zionist jewish,0.0
zionist apartheid israel state people ukraineans origen ukraine,1.0
mahmoud aba palestinian thier president,2.0
lot beaten back lost men time men u lost ww vietnam small chunk country doesnt want therethis putin vietnam bodybags per day thats win insane,1.0
slow joe afraid putin earlier war slow joe also scared give ukraine arm slow joe concerned vladimir p ooptins reaction slow joe scared even fly plane ukraine said plane send ukraine must dissembled first transported cargo truck missile must within certain range took forever supply one know democrat weak militarily,2.0
price united state going even higher also trying talk trump thing think biden president either,0.0
president veto crazy,2.0
republican russia best friend,0.0
part reason ukraine wasnt able advance much u ally send right weapon early enough war theyre expected fight nato training tactic without air superiority long range weapon russia time dig fortify defense hundred meter deep russia us human wave attack human life valuable ukraine smaller population need minimize loss much possible ukraine switch targeting russia supply line ship degrade capability said would back fight didnt give enough win didnt send material needed fast enough demanding result standard ridiculous theyre best,0.0
billion ukraine much go bidens corrupt pocket,0.0
obamabushdunceold work lobby putingatesxi,1.0
spending money country fall apart,1.0
know f training could approved month invasion north korea sent million shell without stalling like west wake cant win russian army promise,1.0
yes take care inflation homelessness crime fentanyl crisis housing poor mentally ill migrant etc,2.0
day putin boring war u arm dealer making killing zelensky laugh stupid orange said hed tell person minute european killing since roman war long held european culture tradition meanwhile civilised world new zealand australia inaugural pacific rugby league championship,0.0
good dividing line map showed,2.0
russia never give crimea,1.0
cant one think wild russia holding well billion ukraine funded training armour aid russia pretty well stalement like course dont want win crazy,1.0
nbcs selective outrage dont see outrage gaza oops sorry gaza theyre referred animal dont deserve outrage condemnation,2.0
reuzzia losing orcs day crazy amount material,1.0
like israel control palestine occupation,0.0
unlikely ukraine push russia completely ukraine control well fought ukraine amazed world time consider much territory cede russia permanently end war yes suck know,2.0
tell whole truth ukraine reclaimed half land russia first took russia would losing couldnt keep funneling resource,1.0
united state cant finance war united state open border problem terrorist criminal coming thousand every day two,1.0
u globe falling apart president ice cream cone behind scene obama puppeteer,2.0
vlad leech life parasite rest,2.0
biden could prevented war onset putin zelinsky agreed speak negotiation biden refused,1.0
usa st hay everyone realize weapon going smoke ukraine israelwhat need strecked thin also border collapsing live car im american wheres dream,1.0
well stalemate euphemism ukrainian debacle according nbc biden administration official worried ukraine running force russia seemingly endless supply official said ukraine also struggling recruiting recently seen public protest president volodymyr zelenskyys openended conscription requirement latest offensive proved epic unmitigated disaster ukrainian army showed completely impotent impotence result successful implementation attrition strategy zelenskyy running cannon fodder forced conscripting even amputee hiv positive people hepatitis total collapse near everybody try steal everything isnt nailed ground sign utter desperation hysteria point unconditional surrender practical solution ukraine hitler germany also refused admit defeat hitler killed keitel signed unconditional surrender anybody go see article time zelenskyy economist zaluzhny,1.0
biden isral full support biden second later im going veto bill help israel,1.0
comparison would easily understood chose portion continental u entirety,1.0
mean biden going print money give,0.0
biden want billion know zelensky biden get rich war,1.0
fund ukraine israel republican,0.0
doesnt map show ukraine winning pro ukrainian troll arent smart said ukraine winning russian shovel weapon crazy stuff,0.0
expert dime dozen said ukraine offensive ground halt posture increasingly becoming defensive average age ukrainian soldier frontlines young men dont grow overnight tree russia huge chunk russian speaking part ukraine ukraine dont manpower get back question ukraine hold left dunbas luhansk,0.0
sndyder best buddy nuland hillary clinton blinken also wet dream total annihilation russia moronic war hawk going start ww russia,1.0
snyder belongs council foreign relation staunchly leftwing think tank loathes detests russian oh american think tank stuffed full jew particularly surprised,2.0
jesus much anti russian hate coming msnbc american still stuck kind old soviet union time warp really feel way nato seems like victoria nulands private deep state army hawkish noecons want russia utterly destroyed american really want ww begin,0.0
ukraine need sophisticated antimine equipment like antimine drone need breakthrough there fast way right clear km mine,0.0
timothy snyder speaks wise listen,1.0
small thread k view crawling russian trash,1.0
hows feel protest ur president xd,1.0
world advance acting like kid fighting sand box,0.0
bunch book behind must smart,1.0
game u european official quietly nudge ukraine seek peace,2.0
aid ukraine old fashioned way troop,2.0
reason russia still game mobilized million men throw flesh bag shameful called pundit expert fail mention anything effect,1.0
russia time move faster realize life saved dont like outcome either reality lose rest young men left little late,2.0
ukrain dont need nothing dummie,0.0
thought ukraine beating orcs back moscow,2.0
warmonger different neocon bush acolyte,1.0
leader need stop treating u nation like personal bank human resource organization dont understand someone say want done first world nation draft enslave citizen force go die suffer thing dont concern u help u several future generation arent even born yet debt give money dont nation dont face violence go hungry homeless like many american told privileged need sacfrice dont worry u thats selfish keep hiving nothing left everything done u name others illegal worod sacrifice resource human being tired used abused neglected government problem telling resource good enough american good enough isreal ukraine place tell cant afford care need focus since creation nation,2.0
exactly biden sullivan austin spending huge quantity ukraine come weapon ukraine need gain decisive advantage war planner drip feed strategy small quantity weapon often modified diminish effectiveness delivered month month delay bidens team focused avoiding political risk winning war priority change well stuck stalemate sooner later someone like trump step assume responsibility biden et al abrogated hell end conflict way disastrous eastern europe u world,1.0
worry yall u tax dollar way,2.0
russia fighting nato country ukraine still winning usa cannot afford endless war war funding negotiate,2.0
ukraine corrupt country stole aid,0.0
general im russia dont support anyone looking abandon ukrainian afraid putin cant help speak american strength opinion cowardly treacherous nation history go shotgun mouse afraid shadow mouse tail seems even million dollar loyalty pay ally dollar fact became leader west time seems worst thing happened west,1.0
since year find hve breakdownn watching people life global,0.0
money ukraine,1.0
professor snyder first class fool,2.0
tim snyders opinion exercise sheer unadulterated madness rooted incredible conceit throughout cold war open direct great power conflict avoided small measure common realization side mutually assured destruction either side would initiate provoked launching nuclear strike snyder nerve without credential military expert without accountability implication advice urge american decisionmakers ignore red line warning moscow related nuclear threat tim snyder know putin bluffing tim snyder know russia paper tiger tim snyder feel intimidated possibility russia use nuclear weapon cornered care mad side respected cold war tim snyder urge ignore russia nuclear posturing willing take risk cornering russia call putin bluff professor snyder mistaken snyders advice result nuclear exchange u russia willing assume responsibility mistake maybe care professor tim snyders academic reputation case nuclear apocalypse happens,1.0
mean finally broke obsession thing trump,1.0
interviewer asking russia involved israel issue respondent say direct proof footage hamas body camera found wall many voice video hamas killer russian voice sendingguiding hamas murderer way seems msnbc letting terrorist get away cant msnbc ever work country stop undermining america,1.0
jesus answer jesus way jesus said way truth life man cometh unto god john ye known ye known father also john one else salvation neither salvation none name heaven given among men whereby must saved act jesus jesus jesus thing jesus glory ever amen roman,0.0
power usa real nato money longer war take better,1.0
president biden use money took russian oligarch help ukraine,1.0
wouldnt point weret dragging foot tank long range missles jet,0.0
american propaganda blame others,1.0
snyder unquestioned expert many thing wrt authoritarianism,0.0
shouldnt ukraine humanitarian pause along front line help rus,1.0
im democrat republican wake happening world,2.0
crisis u border impeach biden completed obama library great place homeless illegals hang election fraud happened msnbc larry dnc hamas hate,1.0
please stop continual destruction ukrainian life incompetent coverage support losing cause nothing youve reported work expert normally would laughable create much suffering,0.0
ukraine need weapon winnable war,0.0
everything east west germany russia djts peace plan,1.0
latest offensive proved epic unmitigated disaster ukrainian army showed completely impotent impotence result successful implementation attrition strategy point unconditional surrender practical solution ukraine hitler germany also refused admit defeat hitler killed keitel signed unconditional surrender,2.0
make much money war nice mentality huh,2.0
academic know wh advisor dragging foot long range,2.0
combining support israel ukraine one decision might wise thing domestically usa european perspective increasing number european state use argument supporting landgrabbing israel argument also ceasing support ukraine,2.0
biden act unilaterally somehow circumvent congress act emergency,0.0
thank coverage please,0.0
think attention span medium millionaire owner always looking next big story grab ad greed kill go way find current info ukraine putin evil attack,2.0
really important american understand united state far biggest propagandizing country world cant trust corrupt u corporate medium cable news theyre state run medium pretend rail go network host pundit expert mouthpiece u government corporation wealthy elite go outlet like cnn fox news msnbc newsmax new york time wall street journal washington post others lie misinform manipulate information reality american people lying stealing people truth theft unforgivable also go u corporate medium cable news show like cnn morning morning joe fox friend hannity rachel maddow others network also hate bearer bad news poll taken country around world includes ally asking country biggest threat world peace answer overwhelming united state america corporate medium outlet partner community one biggest part divide among u decline quality average american people life deterioration united state theyre bunch millionaire paid billionaire tell think,2.0
comprehensive intelligent conversation war ukraine ive heard,1.0
ukraine pure corruption money laundering read time article pervasive corruption zelensky advisor admits theyre stealing like there tomorrow war lost ukraine long ago,0.0
need money usa,1.0
wish mr snyder also would start talking thousand killed palestinian child gaza refugee camp im thankful strong spokesman ukrainian let israel get away genocide baffling hypocrisy u,1.0
propagating dangerous fantasy dressing science mr snyder making world le safe,1.0
snyder ukrainian bld hand,1.0
need putineers congress documented meeting xi assad xi sent private jet pick fly beijing putin iran met hamas terror attack,0.0
borrowing money ship ukraine shame uall shame medium,0.0
name vitaly voldemer josef stalin holodomor gulag survivor cannot live fact state putin russia attacking trying imprison slavic brother ukraine people immoral happened gulag wake every night physical emotional pain hope dont continue thing happened neighbor vitaly volodmor holodomor gulag survivor,2.0
penny corrupt place dont like wackzensky,1.0
russia already dont need anymore money ukraine,1.0
got foreign terrorism land abroad racist domestic terrorism home people idaho get morning worried whats going chicago southern border whats table breakfast,2.0
ukraine running men,1.0
exactly,2.0
timothy clueless he reason people think american stupid,1.0
democrat tip toeing republican democrat start telling party walking flower got end even vice president dont ever hear word,2.0
professor snyder speaks clarity increasingly muddied dire situation yes need support ukraine get weapon faster even new war israel worry current development inside gaza news every day focused israel ukraine,2.0
ukraine win help win need help win heaven know need something gooddemocracy need win people better humanity,1.0
yes yes sound putin evil,0.0
every time democrat call republican stupid remember democrat thought pulling fire alarm would open locked door,1.0
democrat going get set cajones biden going get set cajones republican party playing stop tip toeing people,2.0
trump maga republican soldier traitor alies ukraine shame,2.0
ukraine already toast losing battle stop wasting human life,1.0
israel plenty weapon armament desperately needed ukraine,0.0
need listen professor snyder saying,2.0
russian oil gas income percent income russian minister finance source everything going according plan european sanction cause russian natural gas collapse russian company gazprom announced natural gas production slumped ussr level entire world laughing russian russia collapse,2.0
putin stated demilitarize ukraine putin tank begging north korea ammo avdivka drone footage russia using military truck entire world laughing russian russia collapse,2.0
united state get entirely ukraine militarily let people settle difference exactly sort situation president washington warned,2.0
yet nd largest exporter military weapon usa telling people right keep bear arm threat public safety hypocrisy astounding,1.0
correction march previous version video stated nato brought russia border first time estonia latvia lithuania joined nato incorrect norway share border russia nato since weve corrected line emphasize importance former soviet republic russia border joining nato first time weve also clarified one europe largest war since world war ii value feedback comment appreciate bringing point attention,0.0
since ukraine came lter history sadly never fce true independence russian spirit strong life ukraine already,2.0
imagine inadequacy level high unpredictable major leader world cant get agreement amount country region affected directly indirectly dozen disaster world,0.0
seems like dont understand whole situation think usa would china decided place nuclear weapon mexico,1.0
save palestine save ukraine,2.0
nato never expanded ukraine last straw conflict,0.0
war western sick mindlong live russia,0.0
im russian government even dont let u call war abbreviated special military operation,1.0
ucraine locked conflict russia killed people ucraine governament persecute killed ucranian donbas spoke russian putin went help,1.0
amazing behavior simply hitler stalin,1.0
main reason war ukrainian live european lifestyle aka better russian people realize mistreated ruler eventually harder control care simple,2.0
illegally invaded usa military cloaking hub china im attack,0.0
thats italy europe,1.0
youre missing important detail action tool putin stay throne boris nemtsov said he afraid pure democracy border russia could reason ruin putin empire putin murderer bandit leader organized world russian criminal thrown jail,2.0
ukraine want go independent im mistaken year old country basically russia medium good source really like know part explanation who right who wrong,1.0
u largely responsible well israel butchery,0.0
usa supporting ukraine humanity politics russia threat thing happening palestine usa uk supported jew create country palestine refuged alone nearly k people killed want strong alley middle east,1.0
putin tweak,1.0
im ukrainian confirm ukraine free border russia fall apart,0.0
lot want europe russia allowed happen palestine,0.0
imy putinpresident,2.0
main reason russia conquer ukraine needed ukraine border protection potential nuclear threat future u reason russia china test american military strength weakness attempt go war together u ally,0.0
cant say full scale invasion whe send military russia send soldier milion permanentprofessionals israel gather soldier got permanentsprofessionals soldier population arround israel going full scale invasion military russia never didnt use full scale war statistic correct call military operation side european yes look full scale isnt full scale number gonna mean soldier send russia,2.0
nato evil provoked russia rissia defrnfing nato want ukraine join build nuclear missile silo next russia soviet union collapsing wasnt enough basically want russia disarray,1.0
million day ukraine ukraine since february let sink,1.0
author pick side journalism tragic war much detail back history throughout process war death must stopped politics allowed indelible shame history,1.0
lacking context like crimea people vote favour russia called ukraine west didnt recognise look war casualty even see whose side civil war donetsklohansk also noninvasionaggression pact extended ukraine didnt want sign opening potential danger apart despite video onesided alright,1.0
true full scale invasion would hundred thousand way poland border zalensky would dead like saddam gaddafi u precise conflict started overthrow janokovich without western intervention war nato would never happend,2.0
funny russia claim operates completely differently old soviet unionputin xkgb bos office year u guy know im going dont trust em,0.0
next year well help putin find hague,1.0
putin georgia president eating tie putin need help get grandkids west coukd get tiffany eat tie,2.0
forever war,1.0
opinion russia made ukraine bite hand feed russia warned join nato feel threatened like feeling american cuban crisis,2.0
question freedom equal value loss life nuclear war think people one world dobie wan kanobie calif october,1.0
ah thought video really explained something unfortunately another propoganda,2.0
nato cause blame war russia want buffer zone nato force border agree keep nato troop ukraine would end,2.0
one sided get,2.0
please correct update map kosova independent part serbia since state kosova sanctioned russia unlike serbia done,1.0
finished watching,1.0
imteresting u intentionally left west graphic french portrayed nato country left,0.0
dont think ill ever understand,0.0
ukraine would never donating,2.0
belarus ukraine georia last exsoviet nation nato russia armenia azerbaijan guess well go war eachother,0.0
russiaukraine war similar serbiancroatian war putin similar milosevic good video break yugoslavia yugoslavian war parallel two war striking,2.0
main demand nato stop expanding,0.0
message zelenski asks would like start working voktaya ice,0.0
justin trudeau way send billion ukraine country suffers,0.0
putin wright,2.0
putin trying best hold smart cousin hostage brilliant mind old bloc come ukraine like take nuke leave u eff alone,1.0
ukraine created russia drcongo created belgium logic putin,0.0
dont want make russia country angelsbutif truth saidzelenski close news medium didnt agree himhe forbid russian section ukraine speak russian russian news paper outlaw oppression partieszelenski also pushing woke ideologieshe shut state mediasin fact put many people put jail trailsmade non personsfor pas year ukraine military bombing attacking western russian population ukraine killing thousand including child zelenski said would stop bombing didntalso western part ukraine suppose right vote independencesbut never allowed reason one talking would like know money giving ukraine goneand guess money also unaccountable know go already several million said lost could gone someone pocketszelenski angel trying bring america war plusdid forget ukraine never suppose join nato remain buffer state,1.0
country interfering war suffer economically russia russia make sure soon gas power electricity europe still till today buying russian gasoil thru india,0.0
somehow feel like well planned farce contrivance order chaos,1.0
obamas war,0.0
nato ally say russia barbaric one barbaric destroyed many country asia power history forget,2.0
main culprit war usa respect people usa government like parasite planet,1.0
full scale invasion beach odessa open tourist ukrianian politician spent summer holiday abroad farming industry produce milions tone abuse help enforce export slovakia poland respect victim real war,0.0
thousand people killed ukraine donezk lugansk,0.0
go russia everyone right protect border thats jfk,2.0
leader russia witness creep nato border despite warning decade would done,0.0
u meddling ukrainian election wasnt worthy placement timeline huh,1.0
need red crossbaron tank,1.0
russian war putin,1.0
blatant pearl harbour moment unfortunately west yet wake moment whose side,1.0
mean people dont care anyone russiz wean cruel dont think russia point,2.0
russia invaded ukraine america antagonised war veen created facilitated usa foreign policy,2.0
quite challenging stop dropping tear flashback outset war video conjure traumatic picture burden deepest part memory,1.0
nato still exist ussr collapse,2.0
heart go russia putin win war,2.0
nato want expand,0.0
west planted seed,1.0
hilarious hear western north american leader saying word barbaric theyre accustomed fact among top barbarian,2.0
victory ukraine peace love algeria north africa,0.0
left first year,1.0
ok ill look elsewhere truth,2.0
fact russia invades ukraine cuz part make puke whole world one huge landmass definitely want invade every country,0.0
riddled inaccuracy,1.0
common russian w,1.0
badass ending though zelensky stud,2.0
jew plan america obeyed well muslim knew along sorry u dollar country russia india many,1.0
convenient leave fact udssr fell apart russia nato agreement nato bring military equipment infrastructure russian border agreement broken poland czech republic hungary joined nato bulgaria romania slovakia slovenia lithuania latvia estonia joined nato poland estonia latvia specially problem since direct border russia despite fact agreement broken reaction russia invasion ukraine direct response president zelensky running around europe calling quick entry european union nato russian point view would nearly impossible defend country nato aggression ukraine would member provide nato countless entry point russia putin demand also described wanting return original agreement way european union citizen didnt want ukraine join eu already enough problem inclusion bulgaria romaniawed rather take russia eu best wish vienna,1.0
video u invasion vietnam iraq afghanistan somalia coming,1.0
im siding russia although dont like innocent people suffering stingy america need taught lesson,2.0
freedom country russia war,1.0
russia isnt bad video portrays,2.0
talk russian imperialism never american,0.0
kiev never main target diversion draw ukrainian force toward north west away donbas coastal area goal beginning defend crimea donetsk luhansk ukrainian attack set stage long low cost stationary war attrition economically rather militarily realizing enemy ukraine nato russia cannot possibly hope invade occupy enemy territory hope victory make war costly nato time make prospect peace russia advantageous continued collaboration u,2.0
say protest drove president office failed say democratically elected president majority ukrain citizen deposed ran country jan style cover propoganda wow dude thats say would independent free press serving people,1.0
funny painted peaceful protester actually rioting cmon objective literal film documentary showing truth,1.0
usa n nato lot answer,1.0
dont know support russia ukraine promised neither would join nato ukraine broke promise,1.0
west worked hard also protect people palestine libya somalia sudan syria iraq yemen afghanistan people suffered longer far ukrainian,0.0
telling nato expansion country begging join russia expansion involves war force,1.0
forgot explain one thing ukraine irritate russia,2.0
putin suffer consequence joke,0.0
war cause u nato expand u nato responsible war ukraine russian message clear stop expand farther war ukranian cause u nato message clear loud stop expand russian border u nato ignore russian message,1.0
ukraine conflict revolution dignity ukrainian u backed coup ukrainian citizen took arm backed outside source staged coup ousting russian backed president russian invasion crimea response coupe de tateputin rolled crimea annexed ukraine donbas war citizen spoke russian donbas region ukraine voted join russian federation seceded ukraine legitimate votethe donbas citizen spoke russian tortured murdered ukrainian trying join russia russo ukrainian war vladimir putin announced invasion ukrainefour region ukraine annexed russian federation,1.0
one sided report hold objective truth whatsoever,0.0
honest u citizen russian chinese force came border mexico ill really mad,1.0
america behind everything u people got wake putin right,1.0
west cange know putin tell true,1.0
lol war,2.0
human being good bad gene universe would better humanity dead dread think suffering ahead human being,1.0
clause minsk agreement read immediate comprehensive ceasefire certain area donetsk luhansk region ukraine strict implementation starting kyiv time february ukraine comply clause continued bomb dnr lnr head dpr denis pushilin lpr leonid pasechnik appealed russian president vladimir putin request assist repelling aggression armed force ukraine order avoid civilian casualty prevent humanitarian catastrophe address leader lpr state kyiv continues build military presence line contact receiving comprehensive support including military support united state western state kiev regime focused forceful solution conflict given foregoing head two republic connection current situation well order prevent civilian casualty humanitarian catastrophe basis article treaty friendship cooperation mutual assistance russian federation republic ask president russia assist repelling aggression armed force formation ukraine article treaty friendship cooperation mutual assistance russian federation donetsk people republic state contracting party jointly take measure available eliminate threat peace violation peace well counter act aggression state group state provide necessary assistance including military assistance exercise right individual collective selfdefence accordance article un charter thus russia launched special military operation purpose collective selfdefense accordance article treaty friendship cooperation mutual assistance russian federation donetsk people republic,2.0
praying whove forcefully dragged conflict theyve used voice year try avoid cant imagine life like people right daily horror worry facing hope putin reign ended soon everyones peace mind,1.0
people wonder war people keep moving piece chess table dont want war stop touching board stop trying win game,1.0
tyrant putin pray ukraine,0.0
ukrainian holy neither russia devil example ukrainian president closed orthodox church,0.0
ukrainian people wish independent pray border stand strong,1.0
basically nato keep expanding territory end cold war,0.0
russia send america back early,0.0
many way explaining going others way could put could say west,1.0
ukraine west blamed day long,1.0
reason expansion nato europe,2.0
im pretty sure u killed civilian iraq afghanistan combined mean expert,0.0
heart broken ever since demonic putin invasion began,1.0
mind boggling msny cofused people topic thsnks vox helping confudion,2.0
feel sorry ukrainian hope conflict end soon,0.0
think thats bad think number dog abadonend war,1.0
threatings capable thats sure know know moving know sleep night know kremlin wagner group prigozhin know nuclear bomb going know everything everything thats going may nuke ant spending billion like u find like send balloon life threating right big deal yet,2.0
totally one sided give exact explanation putin instead showing vilianous he trying save russia westerner especially bloodsucking u russian please try understand know putin wrong innocent people shouldnt killed war look situation putin wouldnt thing whats happening ukraine today soon gonna happen russia many asian country,0.0
russia legitimate security concern ukraine becoming nato member would u feel mexico joined collective security treaty organizationcstorussias nato nuke pointed u oh called cuban missile crisis almost lead nuclear war,1.0
putin seized crimea donetsk region lol resident crimea donetsk region fight side russia hate kiev regime capture release,1.0
would personally wouldnt want west take overthey devilthey bring unnatural thing humanity,0.0
zelenski muppet cia finger deep inside controlling,0.0
remember taliban drove russian,1.0
fact eight year possible prove guilt special force police death people maidan proven yanukovych gave order,1.0
naked aggression,1.0
year russian invasion war still ongoing europe poured billion military aid causing local unrest country family difficulty pay energy bill food became expensive people making choice eat certain product business closing one russia taken hostage american ally paying attention country taking part american proxywar thriving financial independance africa making big economical come back arabic country feel le pressure coming america asia become center world economic wellfare war doesnt end year im afraid room peace negociations democratic country collapse wont need ww end daily comfort civilisation accustomed make place poor people looting shop mass shooting street civilian unrest mark word already happening usa,1.0
tha myou explaining great video,0.0
ukraine wanted bring russia enemy door step united state think would done,0.0
war exists universe made two opposing force reception bestowal force enter balance short circuit try destroy mutual effort side eliminate war root cause war clash opposite force nature reception bestowal clash spiritual force give rise war unfold material world therefore stopping war source requires developing regulating sense ability bestow innate force reception selfserving desire aim solely absorbing language kabbalah bestowing sense called screen heb masach new regulating sense acquire state positive balanced human connection key warfree harmonious peaceful existence,1.0
ukrainian terrorist playing victim medium whoever medium support remember theyre told billionaire owner,2.0
nato north atlantic treaty organisation time company change name something like world treaty organisation freely go anywhere protect u,1.0
prayer life,0.0
thats easy putin went top advisor said make biggest fool planet advisor said invade ukraine end,2.0
