Comment,Like,Dislike
Zelensky is really mad pleads for another one year to destroyed Ukraine more,40,0
The speaker is right,3,0
"Hmmm Donetsk and Luhansk regions declared  independence from Ukraine with 97 % support of the people, After terrorist attack the Ukraine capital and then president Yanukovych had to flee for his life. Revisionist History doesn't fly. The solution is simply, give the people what they want, freedom from Ukraine.",1,0
We couldn't have President Trump and his commitment to peace. The MIC won't get rich and politicians won't get kickbacks that way.,8,0
18 <100%,4,0
America is been occupied 🐙 By ZIONIST JEWISH,0,0
"Most Of The Zionist APARTHEIDS ISRAEL STATE 
PEOPLE !!! ARE UKRAINEANS -'ORIGEN FROM UKRAINE",0,0
IS MAHMOUD ABASS A PALESTINIAN????? TO BE THIER PRESIDENT?????,0,0
So what ? It was a lot more before they were beaten back. They lost over   300000 men ! 6 times more men than US lost in WW2 or Vietnam. For a small chunk of a Country that doesn't want them there..this Putins Vietnam..500 to 1000 bodybags PER DAY. That's a win? Insane.,9,0
"Slow Joe is too afraid of Putin earlier in the war Slow Joe was also very scared to give Ukraine arms. Slow Joe has been so concerned of Vladimir P ooptin's reaction.
Slow Joe was scared to even fly the planes to Ukraine and said that any planes send to Ukraine must be dissembled first and transported by cargo trucks. Missiles must be within certain range and took forever to supply one. We all know Democrat is weak militarily.",1,0
"Why and How the price for the United States is going to be even Higher ?
Also, why is he trying to talk Trump into things does he not think Biden is the president either ?",2,0
"why is the President veto this, is he crazy!",2,0
The republicans are Russia’s best friends.,1,0
"Part of the reason Ukraine wasn’t able to advance much is because the US and allies did not send the right weapons early enough in the war. They’re expected to fight with NATO training and tactics without air superiority or long range weapons. Russia had time to dig in and fortify defenses hundreds of meters deep. Russia uses human wave attacks because human lives are not valuable to them. Ukraine has a smaller population and needs to minimize losses as much as possible. So, Ukraine had to switch to targeting Russia’s supply lines and ships to degrade their capabilities. We said we would back them in this fight but we didn’t give them enough to win. We didn’t send them the materials they needed fast enough, all the while demanding results to our standards. It’s ridiculous. They’re doing the best they can.",33,0
"105 billion to Ukraine, how much goes into Biden’s Corrupt pocket???",1,0
2014 obamaBushDunceOld all work for same lobby: putinGatesXi,0,0
WHY ARE WE SPENDING MONEY ON OTHER COUNTRIES WHILE  OURS FALLS APART!,41,0
No more money for Ukraine!,11,0
You know.. F-16 training COULD have been approved 6 months into the invasion. North Korea just sent 1 MILLION shells without stalling like the west. WAKE UP. You can't win the Russian army with promises ,0,0
"Yes take care of the inflation, the homelessness, crimes, fentanyl crisis, more housing for the poor, the mentally ill, migrants, etc.",8,0
"621 days of Putin's boring war. US arms dealers are making a killing. 
Zelensky laughs at Stupid the Orange and said he'd tell him so in person in 24 minutes.
Europeans have been killing each other since the Romans. War is a long held European culture and tradition.
Meanwhile in the civilised world, New Zealand 30 Australia 0 in inaugural Pacific Rugby League Championship.",0,0
"Good dividing line, as that map showed.",4,0
Russia will never give up Crimea.,88,0
"I cant be the only one that thinks its wild russia is holding on to itself so well with the 100s of billions that ukraine has been funded. The training, the armour, aid, all of it and for them and russia pretty well on its own for it to be at a stalement like that. 

Of course i dont want them to win but it is crazy",45,0
Deport illegals help homeless vets get out of Russia,0,0
Hahahaha soo zelensky no long wear green😂😂😂,20,0
"NBC’s selective outrage? Don’t see same outrage for Gaza. Oops sorry in Gaza they’re referred to as animals, they don’t deserve outrage just condemnation?",0,0
REuzzia is losing 800 Orcs a day and a crazy amount of material.,14,0
not our problem.,12,0
Russia has a right to defend itself. Just like Israel.,25,0
Like Israel control 90% of Palestine by occupation,0,0
"Unlikely Ukraine will push Russia out completely from the 18% of Ukraine it now controls. Well fought Ukraine you have amazed the world,  now it's time to consider how much territory you will cede to Russia permanently and end the war. Yes it sucks, we all know that.",0,0
WARMONGERING HERE !,1,0
Tell the whole truth how Ukraine has reclaimed over half the land Russia first took. Russia would be losing if they couldn't keep funneling resources in 😂,5,0
🇨🇳🇵🇸🇬🇭🇪🇬💪🏾,0,0
"UNITED STATES CAN'T FINANCE THIS WAR. 
UNITED STATES HAS A OPEN BORDERS PROBLEM WITH TERRORISTS AND CRIMINALS COMING IN 20 THOUSANDS EVERY DAY OR TWO.",0,0
Fund Ukraine not Israel,18,0
All the US and globe is falling apart with President ice cream cone and his behind the scene Obama puppeteers.,1,0
"Vlad is a leech, he lives off as parasite of the rest.",0,0
"Biden could have prevented this War @ the onset.  Putin & Zelinsky agreed to speak & negotiations, but Biden refused.",0,0
USA 1st ... hay everyone you realize if are  weapons are going up in smoke for Ukraine to Israel..what if we need them WERE BEING STRECKED THIN. ALSO OUR BORDERS ARE COLLAPSING. I LIVE in my car I'm American where's my dream,0,0
"Well, stalemate is a euphemism for Ukrainian debacle. According to NBC: ""Biden administration officials are worried that Ukraine is running out of forces, while Russia has a seemingly endless supply, officials said. Ukraine is also struggling with recruiting and has recently seen public protests about some of President Volodymyr Zelenskyy’s open-ended conscription requirements."" In latest offensive that proved to be an epic unmitigated disaster Ukrainian army showed itself completely impotent . This impotence is the result of a successful implementation of an attrition strategy. Zelenskyy  is running out of cannon fodder. He is forced conscripting even amputees, HIV positive and people with hepatitis. Total collapse is near so everybody tries to steal everything that isn't nailed down to the ground. It's a sign of utter desperation and hysteria. At this point unconditional surrender is the only practical solution for Ukraine. Hitler's Germany also refused to admit defeat until Hitler killed himself, then  Keitel signed unconditional surrender. Anybody can go and see  for himself the articles in The Time (about Zelenskyy) or The Economist (Zaluzhny).",10,0
"Biden: isral has our full support

Biden 10 seconds later: im going to veto any bill that helps Israel 😂😂😂😂😂",10,0
The comparison would be more easily understood if you chose a portion of the continental US in its entirety.,48,0
Does this mean Biden is going to print more money to give them?,0,0
Biden just wants his 10% from $100billion.... we all know Zelensky and Biden are get rich off this War!,0,0
Fault,0,0
Fund ukraine and Israel Republicans,17,0
Why doesn’t this map show Ukraine winning? Pro Ukrainians trolls that aren’t smart said Ukraine is winning against Russians with shovels and no weapons. Crazy stuff,0,0
Experts are a dime a dozen. What is not being said that the Ukraine offensive has ground to a halt. That their posture is increasingly becoming defensive. The average age now of a Ukrainian soldier on the frontlines is 40. Young men don't grow overnight on trees. Russia has a huge chunk of the Russian speaking part of Ukraine and Ukraine don't have the manpower to get it back. The question is how 🤔 does Ukraine hold on to what it has left of the Dunbas and Luhansk?,0,0
Russia Has The Right To Defend Itself,0,0
"Is Sndyder best buddies with Nuland, Hillary Clinton, and Blinken.  Does he also have wet dreams about the total annihilation of Russia. These moronic war hawks are going to start WW3 with Russia.",0,0
"Snyder belongs to the ""Council on Foreign Relations"", a staunchly leftwing think tank that loathes and detests all Russian's,. Oh and this American think tank is stuffed full of jews, why am I not particularly surprised by this.",0,0
"Jesus, so much anti Russian hate coming from MSNBC, are all Americans still stuck in a kind of old Soviet Union time warp?? It really feels that way. NATO now seems more like Victoria Nuland's own private deep state army. The hawkish noecons want Russia utterly destroyed. Do Americans really want WW3 to begin??",0,0
😂🎉,0,0
Ukraine needs more sophisticated anti-mine equipment like anti-mine drones. We need breakthroughs. There's no fast way right now to clear 20km of mines.,0,0
"When Timothy Snyder speaks, it's wise to listen",0,0
GOOD VIDEO. GOD  BLESS USA 🇺🇸 🙏 ❤️,0,0
"Such a small thread, with only 19k views, but crawling with  Russian trash.",0,0
Hows it feel to protest ur own president XD,0,0
The world  is too advance to be acting like kids fighting in a sand box,2,0
He has a bunch of books behind him. He must be smart.,0,0
"Game Over: US, European Officials Quietly Nudge Ukraine To Seek Peace",1,0
It's over for Ukraine.,4,0
No more aid to Ukraine. They can do it the old fashioned way with their own troops,5,0
Что скажете по поводу Бастиона? Какие политические блогеры там пишут и можно ли им доверять?,0,0
the only reason russia is still in the game is because they mobilized up to 1.4 million men to throw as flesh bags. it's shameful that these so called pundits and experts fail to mention anything to this effect.,0,0
"Russia won, time to move on. The faster you realize this the more lives will be saved. I don’t like the outcome either but it’s reality. They will lose the rest of the young men they have left. To little to late……",0,0
Ukrain don’t need nothing dummie,0,0
But I thought Ukraine was beating the Orcs back to Moscow??,4,0
"War-mongers, no different that Neo-con Bush acolytes.",0,0
"All these ""leaders"" need to stop treating the US and other nations like a personal bank and human resources organization. I dont understand how someone says i want this done then first world nations draft or enslave their citizens to force them to go die and suffer for things that dont concern us or help us they have several future generations that arent even born yet in debt to give money we dont have to other nations so they dont have to face violence or go hungry or homeless like so many americans do but we're told we are privileged and we need to sacfrice dont worry about us thats selfish just keep hiving until nothing is left. Everything done to us in the name of others is illegal we are not worod sacrifices or resources we are human beings and we're tired of being used, abused and neglected. My government has no problem telling me they have no resources for me if its good enough for an American its good enough for isreal, ukraine and all those other places tell them we cant afford to care we need to focus on ourselves for once since the creation of this nation.",0,0
"Exactly. Biden, Sullivan & Austin have been spending huge quantities of $$ in Ukraine but when it comes to the weapons Ukraine needs to gain a decisive advantage, our ""war planners"" have a drip feed strategy: small quantities of weapons that are often modified to diminish their effectiveness and delivered with months and months of delay. Biden's team is more focused on avoiding political risks than they are on winning the war. Until their priorities change, we'll be stuck in a stalemate and sooner or later someone like Trump will step in to assume the responsibility Biden et al have abrogated, and he'll end the conflict in a way that is disastrous for Eastern Europe, the U.S. and the world.",1,0
No worries y’all our US tax dollars are on the way,0,0
"Russia fighting 32 nato countries in Ukraine and still winning. Usa cannot afford endless war. No war funding. 
Negotiate",1,0
Ukraine corrupt country.  Stole aid,0,0
"In general, I’m from Russia, and I don’t support anyone, but looking at how you abandon the Ukrainians and are afraid of Putin, I can’t help but speak out. The Americans, with all their strength, in my opinion, are the most cowardly and treacherous nation in history. If you go out with a shotgun against a mouse, you will be afraid of the shadow of the mouse's tail. It seems that even if you have a million dollars for your loyalty, you will pay an ally for a dollar. The fact that you became the leader of the West for some time seems to be the worst thing that happened to the West",0,0
This  they  Do  since  3 years  . Now  you  find  it  out. .I hve  a breakdownn  watching  what  People  are  up  to  in my life  and  in global. ...,0,0
No more money for ukraine  !!!,4,0
Professor Snyder is a first class fool,2,0
"Thanks guys
Slava ukraini",3,0
"Tim Snyder’s opinion is an exercise in sheer unadulterated madness which is rooted in incredible conceit.  Throughout the Cold War open and direct great power conflict was avoided in no small measure because of the common realization by both sides that there was mutually assured destruction if either side would initiate or be provoked into launching a nuclear strike.  Snyder has the nerve, without any credentials as a military expert and without any accountability for the implications of his “advice,” to urge American decision-makers to just ignore any red lines or warnings by Moscow related to nuclear threats.  He, Tim Snyder, knows that Putin is bluffing.  He, Tim Snyder, knows that Russia is a paper tiger.  He, Tim Snyder, does not feel intimidated by a possibility Russia can use nuclear weapons if cornered.  Who cares about MAD which both sides respected during the Cold War!  Tim Snyder urges to ignore Russia’s nuclear posturing - he is willing to take the risk of cornering Russia and call Putin’s bluff!  And what is Professor Snyder is mistaken?  What if Snyder's advice results in a nuclear exchange between the US and Russia?  Is he willing to assume the responsibility for his “mistake”?  Maybe he is.  But who will care about Professor Tim Snyder’s academic reputation in case nuclear apocalypse happens?",0,0
Does this mean you finally broke your obsession with all things Trump? 🎉,0,0
"WHY IS the interviewer asking if Russia is involved in Israel issue and respondent says there is no direct proof???? When footage from Hamas body cameras was found at the wall, many voices on the video from Hamas killers were RUSSIAN VOICES sending/guiding Hamas murderers on their way. It seems MSNBC is AGAIN letting the terrorist get away with it. Can't MSNBC  EVER work for their own country and stop undermining America?",0,0
"Jesus is the answer

Jesus is the way

Jesus said; I am the way,

I am the truth, I am and the life:

no man cometh unto the God, but by Me. John‬ ‭14‬.6‬

If ye had known me, ye should have known my Father also. John‬ ‭14‬.7‬

In no one else is salvation'
Neither is there salvation in any other; for there is none other name under heaven' given among men, whereby we must be saved. Acts‬ ‭4‬.12‬

For, of Jesus, and through Jesus, and for Jesus are' all things; to Jesus be the glory for ever: Amen. Romans‬ ‭11‬.36‬",0,0
The power of the usa has there own reals and it all about nato and money and the longer the war takes the better it is for them,0,0
President Biden should use the money he took from Russian Oligarchs to Help UKRAINE!!!!!!!!!!!,0,0
"We wouldn't be at this point if we were't dragging our feet on tanks, long range missles and jets.",2,0
American propaganda to blame  others😂,5,0
word!,1,0
Snyder is the unquestioned expert on many things wrt authoritarianism.,3,0
Biden still has $26 billion to spend,0,0
Shouldn’t Ukraine have a humanitarian pause along the front lines to help Russ😅?,0,0
"I'm a Democrat  ,,, Republicans wake up to what is happening in the world 😊",5,0
Biden gets a 10% kickback for everything we send Ukraine.,1,0
THERE IS A CRISIS AT THE U.S. BORDERS.  IMPEACH BIDEN.   WHEN COMPLETED THE OBAMA LIBRARY WILL BE A GREAT PLACE FOR THE HOMELESS AND ILLEGALS TO HANG OUT. ELECTION FRAUD HAPPENED.  MSNBC LARRY IS A DNC HAMAS OF HATE.,0,0
Please stop the continual destruction of Ukrainian lives with your incompetent coverage in support of a losing cause. Nothing you’ve reported will work has. Your ‘experts’ normally would be laughable but not when they create so much suffering.,1,0
"No, Ukraine does not need any more weapons, and no, it's not a winnable war.",12,0
"""Everything east of West Germany is Russia."" -DJT's peace plan",4,0
"In latest offensive that proved to be an epic unmitigated disaster Ukrainian army showed itself completely impotent. This impotence is the result of a successful implementation of an attrition strategy. At this point unconditional surrender is the only practical solution for Ukraine . Hitler's Germany also refused to admit defeat until Hitler killed himself, then  Keitel signed unconditional surrender.",4,0
We can all make so much money off war. Nice mentality HUH. 😮,1,0
How is it that an academic know this but WH advisors have been dragging their feet in the long range?,0,0
"Combining the support to Israel and Ukraine in one decision might have been a wise thing to do domestically in USA, but not in a European perspective, where an increasing number of European states use arguments against supporting the land-grabbing Israel an argument for also ceasing support of Ukraine.",4,0
Can Biden act unilaterally somehow?? Can he circumvent congress in some act of emergency?,1,0
"Thank you for your coverage, more please
🇬🇧🇺🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦🏴󠁧󠁢󠁳󠁣󠁴󠁿🇺🇦🇪🇺",10,0
"I think it’s the ‘attention span’ of media and their millionaire owners always looking for the next big story to grab ad $$.
Greed kills.
I have had to go out of my way to find current info on Ukraine and Putins evil attack.",0,0
"It is really important that We as Americans understand that the United States is by far the Biggest Propagandizing Country in the World 🌎!!! We can't Trust Our Corrupt U.S Corporate Media and Cable News. They're the same States Run Media that They pretend to rail against. That goes for the Networks, Hosts, Pundits and Their Experts. They are All just Mouthpieces for Our U.S Government, Corporations and Very Wealthy Elites. That goes for Outlets like these. CNN, Fox News, MSNBC, Newsmax, The New York Times, The Wall Street Journal, Washington Post and Others. They all Lie, Misinform and Manipulate the Information & the Realities of the American People. If Your Lying and Stealing Peoples Truths, that is Theft and it's Unforgivable!!! That also goes for Our U.S Corporate Media Cable News Shows like CNN This Morning, Morning Joe, Fox & Friends, Hannity, Rachel Maddow and All the Others on these Networks... I also Hate to be the bearer of Bad News there has been Polls taken in Countries around the World that includes All of Our Allies asking ""What Country is the Biggest Threat to World Peace???"" The answer was Overwhelming, The United States of America! These Corporate Media Outlets, Their Partners and Community Own one of the Biggest parts in All of the Divide among Us, in the Decline in the Quality of the Average American Peoples Lives and in the Deterioration of the United States 🇺🇸... They're All just a bunch of Millionaires being paid by a Few Billionaires to tell You how an what to Think...",2,0
This is the most comprehensive and intelligent conversation about the war in Ukraine I've heard.,5,0
Ukraine is a pure corruption and money laundering. Read The Time article about this pervasive corruption. Zelensky advisor admits they're 'stealing like there's no tomorrow'. The war was lost by Ukraine long ago.,1,0
We need the money here in the USA,9,0
"I wish Mr Snyder also would start talking about the thousands of killed Palestinian children in Gaza refugee camps. I'm thankful for him being a strong spokesman for the Ukrainians, but to let Israel get away with genocide is a baffling hypocrisy in the US.",4,0
"By propagating his dangerous fantasies (dressing them up as science), Mr. Snyder is making the World less safe.",4,0
Snyder has Ukrainian bl00d on his hands.,7,0
We need the putineers out of Congress!! 0:48 there is documented meetings between Xi and Assad. Xi sent his private jet to pick him up and fly him to Beijing!! Putin and Iran met before the Hamas terror attack.,1,0
WAR ADDICTS,9,0
borrowing money to ship it to ukraine.   SHAME ON UALL.   SHAME ON THESE MEDIA,8,0
"'''My name is Vitaly Voldemer and I am a Josef Stalin, Holodomor and Gulag survivor. I just cannot live with the fact that the State of Putin's Russia is attacking and trying to imprison our slavic brothers, the Ukraine people. It's just immoral. What happened to me in the Gulag wakes me up each and every night in both physical and emotional pain and I hope we don't continue to do the things that happened to me to our neighbors.

Vitaly Volodmor, a Holodomor and Gulag survivor",1,0
not a penny more for that corrupt place.   we dont like  wackzensky  ,11,0
Russia has won already. We dont need anymore money to Ukraine,6,0
"We got foreign terrorism over land, abroad, and racist domestic terrorism at home, people in Idaho get up in the morning worried more about what's going on in Chicago and on the southern border, over what's on the table for breakfast.",3,0
Ukraine is running out of men,13,0
Exactly.,2,0
Timothy is clueless he's the reason why people think Americans are stupid,3,0
